'Bell.two_three_ordering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.determinant_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rank_one_binary_projector' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.future_between_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_below_rank_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.POVM.complement_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.posDef_real_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.active_coefficients_operator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.coefficient_sum_mem_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.effect_coordinates_mem_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.timeUnit_mem_effectSpan' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.effectSpan_finrank_of_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.nondeterministic_support_at_least_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_span_intersection_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_active_outcome_sum_le_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_two_or_three_outcomes' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.povm_output_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.singleOutput_zero' depends on axioms: [propext, Quot.sound]
'Bell.strategy_no_inputs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_single_bob' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_single_alice' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_one_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.one_input_equality' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.product_behavior_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.trace_product_im_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.right_complement_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.singular_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.mem_convexPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.qubit_cayley_hamilton' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.orthogonal_idempotent_det_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.singular_idempotent_trace_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.ternary_pvm_has_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.pvmSignObservable_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.weighted_born_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.alice_signed_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.bob_signed_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.projective_correlation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physical_bell_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.binary_effect_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.auxiliary_complement_of_zero1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.auxiliary_complement_of_zero0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.auxiliary_complement_of_zero2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physical_bell_zero1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physical_bell_zero2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physical_bell_zero0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.projective_strategy_rational_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.raw_projective_rational_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrtTwo_rational_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rational_bound_lt_paper_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rational_bound_lt_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.projective_global_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convex_projective_rational_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.three_by_two_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.witness_margin_over_projective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.null_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.sameRay_refl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.sameRay_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.sameRay_trans' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nonzero_image_implies_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.sameRay_of_homogeneous_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.image_zero_transfers' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.image_eq_transfers' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_zero_of_last_pair_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_zero_of_first_pair_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_zero_of_fifth_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero2Inverse_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero2Coefficient_of_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero2Inverse_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero2Weight_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero2_plane_of_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero3Inverse_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero3Coefficient_of_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero3Inverse_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero3Weight_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.zero3_plane_of_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal01Inverse_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal01Coefficient_of_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal01Inverse_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal01Weight_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal01_plane_of_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal23Inverse_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal23Coefficient_of_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal23Inverse_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal23Weight_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.equal23_plane_of_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.projective_fiber_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.projective_fiber_injective_of_sameRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.words_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell02_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell02_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell01_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.bell01_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.chsh_switch' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.localTrace_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.localTrace_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.posSemidef_real_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.localTrace_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.pureDensity_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.pureDensity_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.pureDensity_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.root_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.root_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.root_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.purified_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Assemblage.mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.inverse_congruence_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPVM_subset_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPVM_subset_convexPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gram_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.joint_gram_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_has_gram_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPOVM_eq_gram_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPVM_eq_gram_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.trace_gram_norms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.entry_norm_sq_le_trace_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.matrixBox_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramBox_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramValid_subset_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramValid_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramProjective_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gramBehavior_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPOVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rawPVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPOVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPVM_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexPVM_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.counterexample_has_extreme_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.coordinates_pauli' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.minkowski_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.minkowski_transpose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_timeUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.lorentzPair_eq_matrixPair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.lorentzPair_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_trace_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.qubit_psd_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.pauli_posSemidef_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.FutureNull.posSemidef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.FutureNull.nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.future_time_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.future_nonzero_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.posDef_of_posSemidef_det_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.FutureTimelike.posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.lorentz_pair_squares' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.future_pair_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.null_pair_zero_sameRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.null_pair_positive_of_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.QubitGeometry.timelike_pair_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.coefficient_rays_projectively_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.transformed_rays_projectively_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.positive_sum_not_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_one_positive_stationarity_impossible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.images_on_line_sameRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.transformed_rank_one_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.circuitSign_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.circuitSign_squared' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.signed_circuit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.circuit_kernel_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.baseLines_ray_multiple' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.timeFunctional_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.timeFunctional_ray_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.null_base_future_multiple' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ray_assignment_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.permuted_circuit_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.not_three_in_binary_pair' depends on axioms: [propext, Quot.sound]
'Bell.Lorentz.circuit_scale_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.circuit_partition_and_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.binary_sum_preserved' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_zero_normalized_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricTable_eq_rankZeroTable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricTable_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.binaryLabelMap_injective' depends on axioms: [propext, Quot.sound]
'Bell.Lorentz.ternaryLabelMap_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.effectRay_binary_index' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.effectRay_ternary_index' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.effectRay_ternary_label' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.effectRay_under_transformation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.transformedMetricTable_relabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_zero_transformed_table_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.relabelProjectiveStrategy_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.relabel_mem_rawPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.relabel_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_future_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_timeFunctional_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.no_strict_residual_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.coefficient_rays_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_rays_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metric_normal_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.gram_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.gram_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.gram_off_diagonal_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.parameters_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.alice_transformed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.gram_transformed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.transformed_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.transformed_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.block_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.frame_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ResidualFrames.not_strict_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.effectSpan_le_of_effects' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.effectSpan_coarsen_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.effectSpan_encode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.measurementFrame_effectRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.measurementFrame_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.measurementFrame_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.matrix_det_unit_of_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.matrix_det_unit_of_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.measurementFrame_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.paddingMap_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encoded_frame_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steered_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steeringTransform_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steeredFrame_effectRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steeredFrame_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodePOVM_below_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodePOVM_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steeredFrame_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steeredFrame_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.steering_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.localTrace_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.pure_frame_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.physicalResidualFrames_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.no_strict_extreme_binary_ternary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.rotate_three_sums' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.gram_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.expectation_gram_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.upper_bound_of_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.pivot_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.coefficient_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.SOS.numerator_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrtTwo_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrtTwo_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrtTwo_lt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gap_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strict_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.le_of_square_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrt_deficit_one_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrt_deficit_four_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrt_deficit_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.sqrt_deficit_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.robust_square_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.robust_certificate_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.robust_pair_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.complete_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.global_upper_from_deficits' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strengthened_gt_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strengthened_gt_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strengthened_family_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.two_input_strategy_simulable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.finite_projective_simulation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.one_binary_party_simulation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.two_input_linear_bound_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.two_input_linear_bound_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.POVM.ext_effect' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.coarsenPOVM_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.coarsenPOVM_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.coarsenPOVM_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.activeSupport_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodingLabel_cast' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodePOVM_cast' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodePOVM_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encoding_coarsens' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.encodePOVM_effect_cases' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.deterministic_alice_local' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.deterministic_bob_local' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.gram_rows_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.amplitudes_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.steer_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.steer_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.reduced_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.reduced_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.State.born_steer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strategy.toAssemblage_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.full_pure_of_not_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.full_pure_marginal_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StrategyMap.strategy_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StrategyMap.mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StrategyMap.mem_rawPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.StrategyMap.mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.swap_born' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.swapStrategy_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.swap_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.swap_mem_convexPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.swap_extreme' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.FullPureStrategy.swap_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.q_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.q_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.q_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.a_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.b_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.a_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.b_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.scaled_a_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.scaled_b_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.state_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.k_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.k_sq_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.q_product_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.observable_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.auxiliary_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.alice_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.alice_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.bob_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.bob_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Strengthened.coefficient_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
