rank,id,problem_number,title,category,ev,ev_low,ev_high,impact,p_solve,p_valid_open,assessment,local_status,upstream_status,eligible,present,holds,reasons,source_url
1184,30001766,OWR-5149-002,Projective-Free Lie Modules of Symmetric Groups,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/21
1185,30001770,OWR-5149-009,Cohomology Vanishing for Principal-Block Simple Modules,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/21
1186,30001771,OWR-5149-010,Murphy-Element Description of Centralizer-Algebra Centers,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/21
1187,30001773,OWR-5149-012,"Vertices, Sources, and Filtrations of Symmetric-Group Modules",Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/21
1188,30001779,OWR-5152-002,Covariance Estimation Without Logarithmic Oversampling,Probability,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/24
1189,30001781,OWR-5152-008,Maximal Submatrix Bounds Without Unconditionality,Probability,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/24
1190,30001782,OWR-5152-009,Entry Distributions in Random Contingency Tables,Probability,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/24
1191,30001789,OWR-5154-005,Possible $L^{2}-Betti$ Numbers of a Fixed Group,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/26
1192,30001795,OWR-5154-011,"Soficity, Hyperlinearity, and Surjunctivity of Major Group Classes",Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/26
1193,30001803,OWR-5157-003,Macroscopic Pivotals Without Infinite-Cluster Exceptional Times,Dynamical Systems,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/29
1194,30001807,OWR-5158-007,Borel–Serre-Type Compactifications for General Lattices,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/30
1195,30001809,OWR-5158-009,Simplicial Volume Bounds for Euler Characteristics,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/30
1196,30001814,OWR-5158-015,Invariant Orders on Finitely Generated Infinite Groups,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/30
1197,30001815,OWR-5158-016,Virtual Nonorderability of Cocompact Arithmetic Groups,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/30
1198,30001837,OWR-11127-004,Large-Image Even Galois Representations,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/35
1199,30001838,OWR-11127-006,Conjugacy Classes Distinguishing Finite Groups from Subgroups,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/35
1200,30001839,OWR-11127-007,Frobenius Certificates for Finite Galois-Group Isomorphisms,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/35
1201,30001840,OWR-11127-008,Galois Images in Genus-Two Real-Multiplication Families,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/35
1202,30001842,OWR-11127-010,CM Rational Points on Nonsplit Cartan Modular Curves,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/35
1203,30001843,OWR-11127-012,Functional Equations for Higher Bloch Groups,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/35
1204,30001846,OWR-11127-017,The Abelian Rank-One Stark Conjecture,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/35
1205,30001848,OWR-11127-020,Fixed-Rank Cohen–Lenstra Distributions,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/35
1206,30001852,OWR-11128-005,Four-Point Configurations on Three Lines,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/36
1207,30001854,OWR-11128-007,Gowers Inverse Theorems for Oscillatory Integral Decay,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/36
1208,30001858,OWR-11129-003,Invariant Ring Structure and Finite Linear Actions,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/37
1209,30001859,OWR-11129-005,Exotic Units in a Finite Group Ring,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/37
1210,30001868,OWR-11133-002,Polynomial Subalgebras Admitting SAGBI Bases,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/41
1211,30001873,OWR-11134-001,Strong Prediction for Stationary Ergodic Gaussian Processes,Probability,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/42
1212,30001877,OWR-11135-004,Momentum-Space Scarring on Irrational Point-Scatterer Tori,Mathematical Physics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/43
1213,30001881,OWR-11136-006,Existence of Sparse Steiner Triple Systems,Combinatorics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/44
1214,30001884,OWR-11136-009,Hill Conjecture for Complete Graph Crossing Numbers,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/44
1215,30001887,OWR-11136-013,Multiple Cover Decomposition Thresholds for Planar Sets,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/44
1216,30001890,OWR-11136-018,Extremal Geometric Graphs with Forbidden Configurations,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/44
1217,30001899,OWR-11136-031,High Incidence Partitions and Minimum Ellipsoid Coresets,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/44
1218,30001902,OWR-11137-007,Coarse Baum–Connes Maps for Large-Girth Graph Spaces,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/45
1219,30001912,OWR-11139-005,Necessary Conditions for Laurent-Polynomial Fano Mirrors,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/47
1220,30001913,OWR-11139-006,Extremality of Hodge–Tate Laurent Polynomials,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/47
1221,30001925,OWR-11447-002,Quantum Variance Conjectures for Matrix Elements,Mathematical Physics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/49
1222,30001930,OWR-11451-002,Polynomial Diameter Bounds for Polyhedra,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/53
1223,30001931,OWR-11451-004,Integer Carathéodory Property for Intersecting Matroid Base Polytopes,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/53
1224,30001933,OWR-11451-006,Integer Carathéodory Property for Arborescence Polytopes,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/53
1225,30001934,OWR-11451-007,Greedy Decomposition of the Spanning-Tree Polytope,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2011/53
1226,30001946,OWR-11454-004,Topological Isolation of Singularities in Witt Bordism,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/56
1227,30001947,OWR-11454-005,Nontrivial Witt Pairings in $\mathbb Z_2$-Witt Spaces,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2011/56
1228,30001956,OWR-11570-001,Bowen's Formula for Nonirreducible Dynamical Systems,Dynamical Systems,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/03
1229,30001959,OWR-11570-004,Rigorous Noise-Induced Phenomena in Random Dynamical Systems,Probability,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/03
1230,30001982,OWR-11575-003,Random Minimal Pairs and Cupping Below the Halting Problem,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/08
1231,30001990,OWR-11575-017,Finite-Lattice Obstructions in Enumerable Reducibility Degrees,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/08
1232,30001999,OWR-11580-003,Feigin–Frenkel–Lusztig Character Formula,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/13
1233,30002000,OWR-11580-004,$q$-Whittaker Eigenfunctions of Lattice Quantum Toda Operators,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/13
1234,30002007,OWR-11580-014,Verma-to-Wakimoto Isomorphisms for Jet-Level Characters,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/13
1235,30002016,OWR-11583-009,Low-Degree Cohomology of Finite Groups of Lie Type,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/16
1236,30002017,OWR-11583-010,"Character Degrees, Group Algebras, and Nilpotent Blocks",Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/16
1237,30002018,OWR-11583-011,Perverse Deligne–Lusztig Equivalences for Abelian Defect Blocks,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/16
1238,30002021,OWR-11583-014,Simple Rational Modules in Positive Characteristic,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/16
1239,30002029,OWR-11781-002,Decidability of Hypergraph Turán Densities,Combinatorics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects; algorithmic_target,https://doi.org/10.4171/owr/2012/19
1240,30002030,OWR-11781-003,Three-Color Edge-Folkman Numbers for Triangles,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/19
1241,30002031,OWR-11781-004,Turán Densities of Hypergraph Daisies,Combinatorics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/19
1242,30002032,OWR-11781-005,Ramsey Numbers for Loose Triangles versus Complete Hypergraphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/19
1243,30002033,OWR-11781-006,Monochromatic Structures below Random Density,Combinatorics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/19
1244,30002034,OWR-11782-001,Leavitt Path Algebra Isomorphisms and Graph $C^*$-Algebras,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/20
1245,30002038,OWR-11783-004,Hamiltonian Displaceability of Toric Fibers,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/21
1246,30002040,OWR-11783-007,Maps from Varieties to Okounkov Bodies,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/21
1247,30002042,OWR-11783-009,Degrees and Finiteness of Stringy $E$-Polynomials,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/21
1248,30002043,OWR-11783-010,Combinatorial Nonnegativity for Polytope $S$-Polynomials,Combinatorics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/21
1249,30002047,OWR-11784-005,Littlewood Conjecture,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/22
1250,30002048,OWR-11784-007,Exceptional-Unit Bounds by Algebraic Degree,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/22
1251,30002049,OWR-11784-008,Zilber Conjecture for Torsion-Anomalous Intersections,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/22
1252,30002053,OWR-11786-001,Open Problems in Triangulation Theory,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/24
1253,30002057,OWR-11786-010,Highly Ramified Figure-Eight Covers of Hyperbolic 3-Manifolds,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/24
1254,30002058,OWR-11786-011,Finite-Ring Solutions of Thurston Equations,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/24
1255,30002059,OWR-11786-012,Quillen's $p$-Subgroup Conjecture,Group Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/24
1256,30002064,OWR-11786-020,Matveev–Jaco–Rubinstein Lens-Space Complexity Conjecture,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/24
1257,30002069,OWR-11786-025,Universal Triangulations with Prescribed Boundary,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample; algorithmic_target,https://doi.org/10.4171/owr/2012/24
1258,30002070,OWR-11786-027,Triangulations of 3-Manifolds with Edge Valences Five and Six,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/24
1259,30002078,OWR-11788-004,Scattering for the Quintic Resonant System,Partial Differential Equations,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/26
1260,30002086,OWR-11789-007,Gradient Lower Bounds for Shrinking Ricci Solitons,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/27
1261,30002089,OWR-11790-003,Categorification and Higher-Dimensional Extensions of Parity Brackets,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/28
1262,30002097,OWR-11791-006,Restricted Isometries for Random Scattering Matrices,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/29
1263,30002105,OWR-11793-003,Density and Geometry Recovery from Nearest-Neighbor Graphs,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/31
1264,30002115,OWR-12005-008,Harmonic Test Inequalities Above the First Eigenvalue,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/33
1265,30002116,OWR-12005-009,Round-Sphere Maximization of the First Boundary Eigenvalue,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/33
1266,30002130,OWR-12007-010,Universal Rotation-Zero Words and Analytic Extremizers,Dynamical Systems,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/35
1267,30002131,OWR-12007-011,Hyperbolic Orbifold Realizations of Compact PL Manifolds,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/35
1268,30002134,OWR-12007-014,Mixing Zero-Entropy Area-Preserving Disk Diffeomorphisms,Dynamical Systems,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/35
1269,30002139,OWR-12007-019,Horosphere Geometry Under Quasi-Isometries of Universal Covers,Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/35
1270,30002148,OWR-12009-005,Regular Conformal Equations for Matter with Nonzero Trace,Mathematical Physics,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/37
1271,30002152,OWR-12010-005,Modular Construction of Prescribed $\mathbb Z_p$-Extensions,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/38
1272,30002153,OWR-12010-006,Congruent Numbers in Three Residue Classes,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/38
1273,30002155,OWR-12010-012,Breuil–Mézard Multiplicity Formula,Number Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/38
1274,30002165,OWR-12012-007,Weighted Condenser-Energy Minimizers,Analysis,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/40
1275,30002174,OWR-12014-008,Categorification of the Quantum Volume Conjecture,Topology,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/42
1276,30002189,OWR-12018-003,HOMFLY Polynomials from Nested Hilbert Schemes,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/46
1277,30002193,OWR-12018-010,Classification of Simple Normal Surface Singularities,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/46
1278,30002206,OWR-12173-002,Convergence Criteria for Hardy-Field Multiple Ergodic Averages,Dynamical Systems,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/50
1279,30002216,OWR-12175-005,Kadison–Kastler Conjecture for Separable $C^*$-Algebras,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/52
1280,30002218,OWR-12175-007,Perturbation Stability of Jiang–Su Absorption for $C^*$-Algebras,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/52
1281,30002223,OWR-12175-015,Extensions of Graph $C^*$-Algebras,Algebra,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/52
1282,30002235,OWR-12177-002,Real $\tau$-Conjecture for Sparse Polynomial Sums and Products,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/54
1283,30002241,OWR-12177-010,Multicolored Sunflower Conjecture over Ternary Vector Spaces,Computer Science,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2012/54
1284,30002246,OWR-12181-002,Efficient Covariance Models for Atmospheric-Chemistry Data Assimilation,Miscellaneous,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/58
1285,30002254,OWR-12183-002,Stable Label Patterns on Graphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2012/60
1286,30002257,OWR-12329-005,Higher-Arity VC-Density Bounds in NIP Theories,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/01
1287,30002258,OWR-12329-007,Nearly-Lie Quotients of Automorphism Groups in NIP Theories,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/01
1288,30002259,OWR-12329-008,Bad Groups of Finite Morley Rank,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/01
1289,30002263,OWR-12329-012,Minimal Ordered Structures Beyond Almost Linearity,Logic,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/01
1290,30002265,OWR-12330-006,Maximum Simplices in Euclidean Diameter Graphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1291,30002266,OWR-12330-007,Disjoint-Edge Bounds for Simple Topological Graphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1292,30002267,OWR-12330-009,Edge-Disjoint Connected Spanning Subgraphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1293,30002268,OWR-12330-010,Reed’s Chromatic Number Conjecture,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1294,30002270,OWR-12330-012,Local and Edgewise Reed Bounds,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1295,30002271,OWR-12330-013,Counterexamples to Averaged Local Fractional-Coloring Bounds,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1296,30002274,OWR-12330-017,Structural Invariants for Very Large Graphs,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1297,30002275,OWR-12330-018,Fork Graphs and Directed Cycle Double Covers,Graph Theory,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/02
1298,30002278,OWR-12331-002,Lyapunov Functions for Three-Dimensional Acoustic PML Systems,Partial Differential Equations,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/03
1299,30002282,OWR-12334-005,Dual-Graph Generation of Tautological Relations,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/06
1300,30002285,OWR-12334-013,Cohomological Stability for Moduli of Curves with Group Actions,Algebraic Geometry,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,computable_objects,https://doi.org/10.4171/owr/2013/06
1301,30002289,OWR-12336-007,Endpoint Regularity for $p$-Laplacian Gradients,Partial Differential Equations,0.0405,0.0054,0.162,3,0.0225,0.6,automatic,unreviewed,open,True,True,,construction_or_counterexample,https://doi.org/10.4171/owr/2013/08
